(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
NtQueryInformationProcess,00||,00|defHandle||,00|Handle||,NULL,NULL,process_info_query,3
OpenProcess,02|03||,03|retValue||,02|PID||,NULL,03|02|Handle||,process_open,3
OpenProcessToken,00|02|03||,00|defHandle|03|retValueBOOL||,00|Handle||,NULL,02|00|Handle||,process_token_open,3
OpenSCManager,00|03||,03|retValue||,NULL,NULL,03|00|Handle||,SCManager_open,3
OpenService,01|03||,03|retValue||,NULL,NULL,03|01|Handle||,service_open,3
OpenThreadToken,00||,NULL,00|Handle||,NULL,NULL,thread_token_open,3
Process32First,00|01|02||,NULL,NULL,NULL,02|01|PID||,process_travers,3
Process32Next,00|01|02||,NULL,NULL,NULL,02|01|PID||,process_next,3
QueryServiceStatusEx,00||,NULL,00|Handle||,NULL,NULL,service_status_query,3
ReadProcessMemory,00||,NULL,00|Handle||,NULL,NULL,process_memory_read,3
RegisterServiceCtrlHandlerEx,00|02||,NULL,NULL,NULL,02|00|Handle||,NULL,3
ResumeThread,00||,NULL,00|Handle||,NULL,NULL,thread_resume,3
SetPriorityClass,00|01|02||,00|defHandle|01|dwPriorityClass|02|retValueBOOL||,00|Handle||,NULL,NULL,process_priority_set,3
SetServiceStatus,00||,NULL,00|Handle||,NULL,NULL,service_status_set,3
SetThreadContext,00||,NULL,00|Handle||,NULL,NULL,thread_context_set,3
SetThreadExecutionState,00||,00|EXECUTION_STATE||,NULL,NULL,NULL,thread_executionstate_set,3
SetThreadPriority,00||,NULL,00|Handle||,NULL,NULL,thread_priority_set,3
SetThreadPriorityBoost,00||,NULL,00|Handle||,NULL,NULL,thread_priorityboost_set,3
ShellExecute,02|05|06||,05|nCmdShow||,NULL,NULL,06|02|Handle||,shell_execute,3
ShellExecuteEx,04|07|09||,07|nCmdShow||,NULL,NULL,09|07|Handle||,shell_execute,3
StartService,00||,NULL,00|Handle||,NULL,NULL,service_start,3
SuspendThread,00||,NULL,00|Handle||,NULL,NULL,thread_suspend,3
TerminateJobObject,00||,NULL,00|Handle||,NULL,NULL,job_process_terminate,3
TerminateProcess,00|02||,02|retValueBOOL||,00|Handle||,NULL,NULL,process_terminate,3
Thread32First,NULL,NULL,NULL,NULL,NULL,thread_travers,3
TlsGetValue,00||,NULL,NULL,NULL,NULL,tlsvalue_get,3
TlsSetValue,00|01||,NULL,NULL,NULL,NULL,tlsvalue_set,3
UnmapViewOfFile,00||,NULL,00|Handle||,NULL,NULL,file_view_unmap,3
VirtualAlloc,00|04||,04|retValue||,NULL,NULL,04|00|Address||,virtual_alloc,3
VirtualAllocEx,00|01|05||,05|retValue||,00|Handle||,NULL,05|01|Address||,virtual_allocEx,3
VirtualFree,00||,NULL,00|Address||,NULL,NULL,virtual_free,3
VirtualFreeEx,01||,NULL,00|Address||,NULL,NULL,virtual_free,3
VirtualProtect,00|02||,02|Protecttype||,NULL,NULL,NULL,virtual_protect,3
VirtualProtectEx,01|03||,03|Protecttype||,NULL,NULL,NULL,virtual_protect,3
WaitForSingleObject,00|01|02||,02|dwWINAPI||,00|Handle||,NULL,NULL,waitforsingleobject,3
WaitForSingleObjectEx,00|01|03||,03|dwWINAPI||,00|Handle||,NULL,NULL,waitforsingleobject,3
WinExec,00|01||,01|nCmdShow||,NULL,NULL,NULL,process_winexec,3
WriteProcessMemory,00|02|05||,05|retValueBOOL||,00|Handle||,NULL,NULL,process_memory_write,3
ZwCreateSection,NULL,NULL,NULL,NULL,NULL,section_create,3
AddJob,00|01||,NULL,00|Handle||,NULL,NULL,job_add,4
AdjustTokenGroups,00||,NULL,00|Handle||,NULL,NULL,token_group_adjust,4
AssignProcessToJobObject,00|01||,NULL,01|Handle||,NULL,NULL,process_assign_to_job,4
capCreateCaptureWindow,NULL,NULL,NULL,NULL,NULL,camera_open,4
CheckRemoteDebuggerPresent,00|01||,01|BOOL||,00|Handle||,NULL,NULL,debugger_check,4
ClearEventLog,00|01|02||,02|retValueBOOL||,00|Handle||,NULL,NULL,eventlog_clear,4
CloseHandle,00||,NULL,00|Handle||,NULL,NULL,handle_close,4
